time	V(gatedmirrorout)
5.594030535455309e-09	1.052209e+02
5.594030535513903e-09	1.052209e+02
5.594030535631091e-09	1.052209e+02
5.594030535865465e-09	1.052209e+02
5.594030535924059e-09	1.052210e+02
5.594030535953354e-09	1.052209e+02
5.594030535982650e-09	1.052209e+02
5.594030536041244e-09	1.052210e+02
5.594030536158432e-09	1.052209e+02
5.594030536392805e-09	1.052209e+02
5.594030536451400e-09	1.052209e+02
5.594030536480695e-09	1.052209e+02
5.594030536509990e-09	1.052209e+02
5.594030536568585e-09	1.052209e+02
5.594030536685773e-09	1.052210e+02
5.594030536920146e-09	1.052209e+02
5.594030537388896e-09	1.052209e+02
5.594030538326396e-09	1.052209e+02
5.594030540201396e-09	1.052209e+02
5.594030543951397e-09	1.052209e+02
5.594030551451397e-09	1.052209e+02
5.594030566451397e-09	1.052209e+02
5.594030596451399e-09	1.052209e+02
5.594030656451398e-09	1.052209e+02
5.594030658326398e-09	1.052209e+02
5.594030662076398e-09	1.052209e+02
5.594030669576398e-09	1.052209e+02
5.594030684576399e-09	1.052209e+02
5.594030688326399e-09	1.052209e+02
5.594030695826399e-09	1.052209e+02
5.594030710826400e-09	1.052209e+02
5.594030714576400e-09	1.052209e+02
5.594030714693588e-09	1.052210e+02
5.594030714927962e-09	1.052209e+02
5.594030715396712e-09	1.052209e+02
5.594030716334212e-09	1.052209e+02
5.594030716568585e-09	1.052209e+02
5.594030716627179e-09	1.052209e+02
5.594030716744368e-09	1.052210e+02
5.594030716978741e-09	1.052209e+02
5.594030717008036e-09	1.052210e+02
5.594030717066630e-09	1.052209e+02
5.594030717183819e-09	1.052210e+02
5.594030717242410e-09	1.052209e+02
5.594030717301004e-09	1.052209e+02
5.594030717418192e-09	1.052209e+02
5.594030717447488e-09	1.052210e+02
5.594030717506082e-09	1.052210e+02
5.594030717535377e-09	1.052210e+02
5.594030717564673e-09	1.052210e+02
5.594030717593968e-09	1.052209e+02
5.594030717652562e-09	1.052209e+02
5.594030717769751e-09	1.052209e+02
5.594030717799046e-09	1.052209e+02
5.594030717857640e-09	1.052209e+02
5.594030717974828e-09	1.052209e+02
5.594030718209202e-09	1.052209e+02
5.594030718267796e-09	1.052210e+02
5.594030718384984e-09	1.052209e+02
5.594030718619358e-09	1.052209e+02
5.594030718677952e-09	1.052210e+02
